id_w_time,latitude,longitude,id,x,y,year,month,week,date,time_of_year,acq_time,fire,pop_density,obs_ID,city,in_urban_area,settlement,adm2_name,pop_exact,excess_fire,predicted_fire,fire_in_window,war_fire,sustained_excess,id_big,length_of_war_fire_area,war_fire_restrictive,map_col
41.4--1.2-252-2023,-1.22712,41.37691,41.4--1.2,41.400000000000006,-1.2000000000000002,2023,9,37,2023-09-09,252,1058,1,5.30592977669504,26933,NA,FALSE,FALSE,NA,4.501739501953125,16,6,24,1,1,41--1,207,1,NA
41.4--1.2-252-2023,-1.19471,41.3738,41.4--1.2,41.400000000000006,-1.2000000000000002,2023,9,37,2023-09-09,252,1058,1,5.30592977669504,26944,NA,FALSE,FALSE,NA,4.744584560394287,16,6,24,1,1,41--1,207,1,NA
41.4--1.2-252-2023,-1.24333,41.37446,41.4--1.2,41.400000000000006,-1.2000000000000002,2023,9,37,2023-09-09,252,1058,1,5.30592977669504,26934,NA,FALSE,FALSE,NA,4.802189826965332,16,6,24,1,1,41--1,207,1,NA
41.4--1.2-252-2023,-1.23634,41.36852,41.4--1.2,41.400000000000006,-1.2000000000000002,2023,9,37,2023-09-09,252,1058,1,5.30592977669504,26941,NA,FALSE,FALSE,NA,4.628732681274414,16,6,24,1,1,41--1,207,1,NA
41.4--1.2-252-2023,-1.20245,41.37497,41.4--1.2,41.400000000000006,-1.2000000000000002,2023,9,37,2023-09-09,252,1058,1,5.30592977669504,26939,NA,FALSE,FALSE,NA,4.351596832275391,16,6,24,1,1,41--1,207,1,NA
41.4--1.2-252-2023,-1.2402,41.36909,41.4--1.2,41.400000000000006,-1.2000000000000002,2023,9,37,2023-09-09,252,1058,1,5.30592977669504,26938,NA,FALSE,FALSE,NA,4.628732681274414,16,6,24,1,1,41--1,207,1,NA
41.4--1.2-252-2023,-1.23247,41.36793,41.4--1.2,41.400000000000006,-1.2000000000000002,2023,9,37,2023-09-09,252,1058,1,5.30592977669504,26947,NA,FALSE,FALSE,NA,4.351053237915039,16,6,24,1,1,41--1,207,1,NA
41.4--1.2-252-2023,-1.24037,41.3693,41.4--1.2,41.400000000000006,-1.2000000000000002,2023,9,37,2023-09-09,252,1104,1,5.30592977669504,26946,NA,FALSE,FALSE,NA,4.628732681274414,16,6,24,1,1,41--1,207,1,NA
41.4--1.2-252-2023,-1.22994,41.37724,41.4--1.2,41.400000000000006,-1.2000000000000002,2023,9,37,2023-09-09,252,1104,1,5.30592977669504,26954,NA,FALSE,FALSE,NA,4.501739501953125,16,6,24,1,1,41--1,207,1,NA
41.4--1.2-252-2023,-1.19231,41.37167,41.4--1.2,41.400000000000006,-1.2000000000000002,2023,9,37,2023-09-09,252,1058,1,5.30592977669504,26949,NA,FALSE,FALSE,NA,4.829988956451416,16,6,24,1,1,41--1,207,1,NA
41.4--1.2-252-2023,-1.19794,41.40629,41.4--1.2,41.400000000000006,-1.2000000000000002,2023,9,37,2023-09-09,252,1009,1,5.30592977669504,26936,NA,FALSE,FALSE,NA,5.336031913757324,16,6,24,1,1,41--1,207,1,NA
41.4--1.2-252-2023,-1.23946,41.37388,41.4--1.2,41.400000000000006,-1.2000000000000002,2023,9,37,2023-09-09,252,1058,1,5.30592977669504,26948,NA,FALSE,FALSE,NA,4.354363918304443,16,6,24,1,1,41--1,207,1,NA
41.4--1.2-252-2023,-1.22638,41.3817,41.4--1.2,41.400000000000006,-1.2000000000000002,2023,9,37,2023-09-09,252,1058,1,5.30592977669504,26935,NA,FALSE,FALSE,NA,4.501739501953125,16,6,24,1,1,41--1,207,1,NA
41.4--1.2-252-2023,-1.19812,41.40381,41.4--1.2,41.400000000000006,-1.2000000000000002,2023,9,37,2023-09-09,252,1058,1,5.30592977669504,26951,NA,FALSE,FALSE,NA,5.336031913757324,16,6,24,1,1,41--1,207,1,NA
41.4--1.2-252-2023,-1.23128,41.36799,41.4--1.2,41.400000000000006,-1.2000000000000002,2023,9,37,2023-09-09,252,1104,1,5.30592977669504,26955,NA,FALSE,FALSE,NA,4.351053237915039,16,6,24,1,1,41--1,207,1,NA
41.4--1.2-257-2022,-1.2483900000000001,41.39211,41.4--1.2,41.400000000000006,-1.2000000000000002,2022,9,37,2022-09-14,257,1009,1,5.30592977669504,23368,NA,FALSE,FALSE,NA,5.259346008300781,0,2,2,0,1,41--1,207,0,NA
41.4--1.2-257-2022,-1.24883,41.38917,41.4--1.2,41.400000000000006,-1.2000000000000002,2022,9,37,2022-09-14,257,1009,1,5.30592977669504,23369,NA,FALSE,FALSE,NA,4.73156213760376,0,2,2,0,1,41--1,207,0,NA
41.4--1.2-296-2023,-1.21741,41.38805,41.4--1.2,41.400000000000006,-1.2000000000000002,2023,10,43,2023-10-23,296,1034,1,5.30592977669504,27400,NA,FALSE,FALSE,NA,5.593013763427734,0,2,1,0,1,41--1,207,0,NA
41.4--1.2-46-2023,-1.22486,41.39928,41.4--1.2,41.400000000000006,-1.2000000000000002,2023,2,7,2023-02-15,46,1110,1,5.30592977669504,24947,NA,FALSE,FALSE,NA,5.238746166229248,4,5,11,1,1,41--1,207,1,NA
41.4--1.2-46-2023,-1.22439,41.39857,41.4--1.2,41.400000000000006,-1.2000000000000002,2023,2,7,2023-02-15,46,1019,1,5.30592977669504,24956,NA,FALSE,FALSE,NA,5.194925785064697,4,5,11,1,1,41--1,207,1,NA
41.4--1.2-46-2023,-1.22026,41.39796,41.4--1.2,41.400000000000006,-1.2000000000000002,2023,2,7,2023-02-15,46,1019,1,5.30592977669504,24948,NA,FALSE,FALSE,NA,5.194925785064697,4,5,11,1,1,41--1,207,1,NA
41.4--1.2-46-2023,-1.22383,41.40226,41.4--1.2,41.400000000000006,-1.2000000000000002,2023,2,7,2023-02-15,46,1019,1,5.30592977669504,24952,NA,FALSE,FALSE,NA,5.238746166229248,4,5,11,1,1,41--1,207,1,NA
41.4--1.2-46-2023,-1.22138,41.3906,41.4--1.2,41.400000000000006,-1.2000000000000002,2023,2,7,2023-02-15,46,1019,1,5.30592977669504,24953,NA,FALSE,FALSE,NA,5.194925785064697,4,5,11,1,1,41--1,207,1,NA
41.4--1.2-46-2023,-1.22482,41.39238,41.4--1.2,41.400000000000006,-1.2000000000000002,2023,2,7,2023-02-15,46,1045,1,5.30592977669504,24955,NA,FALSE,FALSE,NA,5.194925785064697,4,5,11,1,1,41--1,207,1,NA
41.4--1.2-46-2023,-1.22013,41.39857,41.4--1.2,41.400000000000006,-1.2000000000000002,2023,2,7,2023-02-15,46,1110,1,5.30592977669504,24949,NA,FALSE,FALSE,NA,5.194925785064697,4,5,11,1,1,41--1,207,1,NA
41.4--1.2-46-2023,-1.23789,41.39306,41.4--1.2,41.400000000000006,-1.2000000000000002,2023,2,7,2023-02-15,46,1019,1,5.30592977669504,24950,NA,FALSE,FALSE,NA,5.186547756195068,4,5,11,1,1,41--1,207,1,NA
41.4--1.2-46-2023,-1.22093,41.39354,41.4--1.2,41.400000000000006,-1.2000000000000002,2023,2,7,2023-02-15,46,1110,1,5.30592977669504,24946,NA,FALSE,FALSE,NA,5.194925785064697,4,5,11,1,1,41--1,207,1,NA
41.4--1.2-46-2023,-1.22869,41.39792,41.4--1.2,41.400000000000006,-1.2000000000000002,2023,2,7,2023-02-15,46,0703,1,5.30592977669504,24954,NA,FALSE,FALSE,NA,5.139220237731934,4,5,11,1,1,41--1,207,1,NA
41.4--1.2-46-2023,-1.22082,41.39428,41.4--1.2,41.400000000000006,-1.2000000000000002,2023,2,7,2023-02-15,46,1019,1,5.30592977669504,24951,NA,FALSE,FALSE,NA,5.194925785064697,4,5,11,1,1,41--1,207,1,NA
41.4--1.2-80-2023,-1.23025,41.39637,41.4--1.2,41.400000000000006,-1.2000000000000002,2023,3,12,2023-03-21,80,0724,1,5.30592977669504,26200,NA,FALSE,FALSE,NA,5.139220237731934,0,1,1,0,1,41--1,207,0,NA
41.4--1.3-243-2022,-1.33591,41.36174,41.4--1.3,41.400000000000006,-1.3,2022,8,35,2022-08-31,243,1019,1,7.184618443250656,23195,NA,FALSE,FALSE,NA,5.139281749725342,0,1,1,0,1,41--1,207,0,NA
41.4--1.3-252-2023,-1.26733,41.37408,41.4--1.3,41.400000000000006,-1.3,2023,9,37,2023-09-09,252,0644,1,7.184618443250656,26957,NA,FALSE,FALSE,NA,4.898177146911621,0,1,2,0,1,41--1,207,0,NA
